vestiging_uri,v_status,v_content_type,v_valid_turtle,linked_onderneming,o_status,o_valid_turtle,error
https://data.vlaanderen.be/id/vestiging/2006305240,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2214783974,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0500864349,200,True,
https://data.vlaanderen.be/id/vestiging/2214261362,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0500799221,200,True,
https://data.vlaanderen.be/id/vestiging/2055965082,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0446306403,200,True,
https://data.vlaanderen.be/id/vestiging/2004244484,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2022788213,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0424342039,200,True,
https://data.vlaanderen.be/id/vestiging/2160515642,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0207451227,200,True,
https://data.vlaanderen.be/id/vestiging/2038006028,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0408161647,200,True,
https://data.vlaanderen.be/id/vestiging/2159590776,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0887261176,200,True,
https://data.vlaanderen.be/id/vestiging/2146537942,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0871900633,200,True,
https://data.vlaanderen.be/id/vestiging/2272379507,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0688666643,200,True,
https://data.vlaanderen.be/id/vestiging/2221578528,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0535999234,200,True,
https://data.vlaanderen.be/id/vestiging/2015528257,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0418881533,200,True,
https://data.vlaanderen.be/id/vestiging/2214228797,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0440712867,200,True,
https://data.vlaanderen.be/id/vestiging/2006205666,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0400330282,200,True,
https://data.vlaanderen.be/id/vestiging/2204424176,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2100196983,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0473904386,200,True,
https://data.vlaanderen.be/id/vestiging/2093166166,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2202147151,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0838938647,200,True,
https://data.vlaanderen.be/id/vestiging/2052022330,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2047845192,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0440126018,200,True,
https://data.vlaanderen.be/id/vestiging/2228651511,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0473407708,200,True,
https://data.vlaanderen.be/id/vestiging/2153982295,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0430285367,200,True,
https://data.vlaanderen.be/id/vestiging/2135539132,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0862438480,200,True,
https://data.vlaanderen.be/id/vestiging/2100925869,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0743339110,404,False,HTTP 404
https://data.vlaanderen.be/id/vestiging/2191074996,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2256238509,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2015743637,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0418250835,200,True,
https://data.vlaanderen.be/id/vestiging/2215456244,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0847396849,200,True,
https://data.vlaanderen.be/id/vestiging/2143172933,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0417650029,200,True,
https://data.vlaanderen.be/id/vestiging/2154185205,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0409723446,200,True,
https://data.vlaanderen.be/id/vestiging/2005805194,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0404016480,200,True,
https://data.vlaanderen.be/id/vestiging/2231152626,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0552937216,200,True,
https://data.vlaanderen.be/id/vestiging/2210164004,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0843422819,200,True,
https://data.vlaanderen.be/id/vestiging/2015981979,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0419124825,200,True,
https://data.vlaanderen.be/id/vestiging/2030145563,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0431873791,200,True,
https://data.vlaanderen.be/id/vestiging/2045381293,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2033051605,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0432701954,200,True,
https://data.vlaanderen.be/id/vestiging/2099392873,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0469582641,200,True,
https://data.vlaanderen.be/id/vestiging/2059286442,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0448365573,200,True,
https://data.vlaanderen.be/id/vestiging/2076965681,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0458128822,200,True,
https://data.vlaanderen.be/id/vestiging/2195668937,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0865929787,200,True,
https://data.vlaanderen.be/id/vestiging/2149034307,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2114743223,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0479107447,200,True,
https://data.vlaanderen.be/id/vestiging/2028822504,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0428268163,200,True,
https://data.vlaanderen.be/id/vestiging/2151786731,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0436357369,200,True,
https://data.vlaanderen.be/id/vestiging/2025017926,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0425967580,200,True,
https://data.vlaanderen.be/id/vestiging/2149917601,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0876581872,200,True,
